Bandit,Reward,Algorithm
4,5.595759361059239,EpsilonGreedy
4,5.281885035179718,EpsilonGreedy
4,3.9012288684116396,EpsilonGreedy
4,3.725902495857325,EpsilonGreedy
4,3.2395516184809723,EpsilonGreedy
4,4.345077593930898,EpsilonGreedy
4,3.443748299552532,EpsilonGreedy
4,1.6270314811480455,EpsilonGreedy
4,3.3701727722316286,EpsilonGreedy
4,4.695383281410873,EpsilonGreedy
4,4.499432947259798,EpsilonGreedy
4,3.9101664811292083,EpsilonGreedy
4,4.515772160897575,EpsilonGreedy
4,3.549251301329896,EpsilonGreedy
4,4.9095133491649765,EpsilonGreedy
4,3.770256367112051,EpsilonGreedy
4,3.698027940411639,EpsilonGreedy
4,4.381423640203424,EpsilonGreedy
4,3.748199823845527,EpsilonGreedy
4,4.758810361115222,EpsilonGreedy
4,2.9025445236396745,EpsilonGreedy
4,3.48637340245898,EpsilonGreedy
4,3.054421977043284,EpsilonGreedy
4,4.884237510793381,EpsilonGreedy
4,3.852795530549226,EpsilonGreedy
2,2.9596562670743323,EpsilonGreedy
4,4.036280629108433,EpsilonGreedy
4,3.5110149748021215,EpsilonGreedy
4,4.048255959572313,EpsilonGreedy
4,5.374656432318059,EpsilonGreedy
4,1.8691741855712993,EpsilonGreedy
4,2.676676711886776,EpsilonGreedy
4,3.560846115345501,EpsilonGreedy
4,3.2111803747710512,EpsilonGreedy
4,5.963433020320543,EpsilonGreedy
4,2.466363434879769,EpsilonGreedy
4,3.6512824679955576,EpsilonGreedy
4,2.3075838970663067,EpsilonGreedy
4,4.892386940419728,EpsilonGreedy
4,1.5709647005588794,EpsilonGreedy
4,3.592302381193165,EpsilonGreedy
4,3.731773040319121,EpsilonGreedy
4,2.6327702293282766,EpsilonGreedy
4,2.6345267459997332,EpsilonGreedy
4,3.812127118257646,EpsilonGreedy
4,2.582016203066075,EpsilonGreedy
4,3.6244117752772635,EpsilonGreedy
4,4.161259080091786,EpsilonGreedy
4,2.69813662003218,EpsilonGreedy
4,4.64633167065091,EpsilonGreedy
4,3.3675645882307275,EpsilonGreedy
4,5.6680461108771105,EpsilonGreedy
4,5.115684239282036,EpsilonGreedy
4,4.2164087391959555,EpsilonGreedy
4,4.43019384781007,EpsilonGreedy
4,4.066375763096895,EpsilonGreedy
4,4.6653925766016044,EpsilonGreedy
4,4.2311484475483905,EpsilonGreedy
4,2.8076189219729146,EpsilonGreedy
4,3.3349369310853163,EpsilonGreedy
4,3.163503123295406,EpsilonGreedy
4,5.898767004188708,EpsilonGreedy
4,5.410514628550921,EpsilonGreedy
4,3.532998253011774,EpsilonGreedy
4,4.864398881084513,EpsilonGreedy
4,2.2609722244029036,EpsilonGreedy
4,3.9483357039951996,EpsilonGreedy
4,4.3824849628018985,EpsilonGreedy
4,4.419486632720349,EpsilonGreedy
4,2.419437057794461,EpsilonGreedy
4,2.236972587180266,EpsilonGreedy
4,3.544816352033431,EpsilonGreedy
4,4.769335799373129,EpsilonGreedy
4,3.702447376121642,EpsilonGreedy
4,4.192722954242502,EpsilonGreedy
4,2.4158987414378656,EpsilonGreedy
4,4.525179215767504,EpsilonGreedy
4,4.376473213920254,EpsilonGreedy
4,5.831968413636629,EpsilonGreedy
4,3.7346562849660883,EpsilonGreedy
4,3.9983359640032106,EpsilonGreedy
4,3.759310555346623,EpsilonGreedy
4,5.141196731537628,EpsilonGreedy
4,4.725742402523057,EpsilonGreedy
4,4.365542677862661,EpsilonGreedy
4,5.134329253976947,EpsilonGreedy
4,4.930496213746862,EpsilonGreedy
4,4.547948283525766,EpsilonGreedy
4,4.048946928698121,EpsilonGreedy
4,5.2494680410155015,EpsilonGreedy
4,3.366371204511328,EpsilonGreedy
4,5.899512914504458,EpsilonGreedy
4,4.639889212369302,EpsilonGreedy
4,4.095758470733408,EpsilonGreedy
4,4.361877954285152,EpsilonGreedy
4,4.745449018040934,EpsilonGreedy
4,4.1456497552964695,EpsilonGreedy
4,5.990092515029403,EpsilonGreedy
4,4.147876277296535,EpsilonGreedy
4,3.2551201987617127,EpsilonGreedy
4,2.3998249107099237,EpsilonGreedy
4,2.804016603416714,EpsilonGreedy
4,4.05183256098963,EpsilonGreedy
4,3.135807553854206,EpsilonGreedy
4,4.962350173458498,EpsilonGreedy
4,4.9568470417430115,EpsilonGreedy
4,4.791911945383199,EpsilonGreedy
4,3.5409358621133387,EpsilonGreedy
4,1.4500111460788232,EpsilonGreedy
4,3.1844338703862185,EpsilonGreedy
4,5.120363436781763,EpsilonGreedy
4,6.319121918945345,EpsilonGreedy
4,4.976803589679611,EpsilonGreedy
4,3.6939910633386024,EpsilonGreedy
4,3.704226529724097,EpsilonGreedy
4,4.6792150464922955,EpsilonGreedy
4,3.25003969625374,EpsilonGreedy
4,5.0802819199976925,EpsilonGreedy
4,3.010606367924406,EpsilonGreedy
4,3.488457905739425,EpsilonGreedy
4,2.133869828312616,EpsilonGreedy
4,2.534067932957389,EpsilonGreedy
4,4.090902291370085,EpsilonGreedy
4,5.456235837319001,EpsilonGreedy
4,3.7618081959128347,EpsilonGreedy
4,3.295644935968814,EpsilonGreedy
4,5.705183635304051,EpsilonGreedy
4,4.504867358766749,EpsilonGreedy
4,3.364176194980459,EpsilonGreedy
4,2.876748218396303,EpsilonGreedy
4,5.201370512427371,EpsilonGreedy
4,5.203878035603091,EpsilonGreedy
4,2.0061425086065916,EpsilonGreedy
4,4.318098531989378,EpsilonGreedy
4,4.479352629039962,EpsilonGreedy
4,4.01657103628416,EpsilonGreedy
4,3.6330146964846928,EpsilonGreedy
4,4.7316229682988595,EpsilonGreedy
4,3.2876311380803402,EpsilonGreedy
4,5.334838112911777,EpsilonGreedy
4,3.1553001477042524,EpsilonGreedy
4,4.620961765042568,EpsilonGreedy
4,6.061667582673036,EpsilonGreedy
4,1.9321853294980418,EpsilonGreedy
4,3.1344838242161437,EpsilonGreedy
4,0.8042889053129216,EpsilonGreedy
4,5.979054509970663,EpsilonGreedy
4,5.251117015491671,EpsilonGreedy
4,5.170574443239558,EpsilonGreedy
